#GENE	CONDITION	INHERITANCE	AGE GROUP
C1QA	C1q deficiency	AR	Pediatric
C1QB	C1q deficiency	AR	Pediatric
C1QC	C1q deficiency	AR	Pediatric
C1QTNF5	Late-onset retinal degeneration	AD	N/A
C1S	Complement component C1s deficiency	AR	Pediatric
C2	Complement component 2 deficiency	AR	Pediatric
C21ORF59	Ciliary dyskinesia, primary 26	AR	Pediatric
C2CD3	Orofaciodigital syndrome XIV	AR	N/A
C2ORF71	Retinitis pigmentosa 54	AR	N/A
C3	Complement component 3 deficiency, autosomal recessive; Hemolytic uremic syndrome, atypical, susceptibility to, 5	AR	Pediatric
C4A	Blood group, Chido/Rodgers system	BG	Pediatric
C4B	Complement component 4B deficiency	AR	N/A
C5	 Eculizumab, poor response to; Complement component 5 deficiency	AD/AR	Pediatric
C5ORF42	Joubert syndrome 17; Orofaciodigital syndrome VI	AR	N/A
C6	Complement component 6 deficiency	AR	Pediatric
C7	Complement component 7 deficiency	AR	Pediatric
C8A	Complement component 8 deficiency, type I	AR	Pediatric
C8B	Complement component 8 deficiency, type II	AR	Pediatric
C8ORF37	Retinitis pigmentosa 64; Cone-rod dystrophy 16	AR	N/A
C9	Complement component 9 deficiency	AR	Pediatric
C9ORF72	Frontotemporal dementia and/or amyotrophic lateral sclerosis 1	AD	N/A
CA12	Hyperchlorhidrosis, isolated	AR	Pediatric
CA2	Osteopetrosis, autosomal recessive 3, with renal tubular acidosis	AR	Pediatric
CA4	Retinitis pigmentosa 17	AD	N/A
CA5A	Carbonic anhydrase VA deficiency	AR	Pediatric
CA8	Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 3	AR	N/A
CABP2	Deafness, autosomal recessive 93	AR	Pediatric
CABP4	Night blindness, congenital stationary, type 2B	AR	N/A
CACNA1A	Episodic ataxia, type 2; Migraine, familial hemiplegic 1	AD	Pediatric
CACNA1B	Dystonia 23	AD	Pediatric
CACNA1C	Brugada syndrome 3; Timothy syndrome	AD	Pediatric
CACNA1D	Primary aldosteronism, seizures, and neurologic abnormalities; Sinoatrial node dysfunction and deafness	AD/AR	Pediatric
CACNA1F	Aland Island eye disease; Cone-rod dystrophy, X-linked, 3; Night blindness, congenital stationary, X-linked, type 2A	XL	N/A
CACNA1S	Malignant hyperthermia susceptibility 5; Thyrotoxic period paralysis, susceptibility 1; Hypokalemic periodic paralysis, type 1	AD	Pediatric
CACNA2D2	Early infantile epileptic encephalopathy, High voltage gated calcium channelopathy-related, autosomal recessive	AR	N/A
CACNA2D4	Retinal cone dystrophy 4	AR	N/A
CACNB2	Brugada syndrome 4	AD	Pediatric
CACNB4	Episodic ataxia, type 5	AD	Pediatric
CACNG2	Mental retardation, autosomal dominant 10	AD	N/A
CAD	Congenital disorder of glycosylation, type Iz	AR	Pediatric
CALM1	Long QT syndrome 14; Recurrent cardiac arrest, infantile; Ventricular tachycardia, catecholaminergic polymorphic, 4	AD	Pediatric
CALM2	Long QT syndrome 15	AD	Pediatric
CALR3	Cardiomyopathy, familial hypertrophic, 19	AD	Pediatric
CAMTA1	Cerebellar ataxia, nonprogressive, with mental retardation	AD	N/A
CANT1	Desbuquois dysplasia 1	AR	N/A
CAPN3	Muscular dystrophy, limb-girdle, type 2A; Eosinophilic myositis	AR	N/A
CAPN5	Vitreoretinopathy, neovascular inflammatory	AD	N/A
CARD11	B-cell expansion with NFKB and T-cell anergy; Immunodeficiency 11	AD/AR	Pediatric
CARD14	Psoriasis 2	AD	N/A
CARD9	Candidiasis, familial, 2	AR	Pediatric
CASK	Mental retardation and microcephaly with pontine and cerebellar hypoplasia; FG syndrome 4; Mental retardation, with or without nystagmus	XL	Pediatric
CASP10	Autoimmune lymphoproliferative syndrome, type IIA	AD	Pediatric
CASP8	Caspase 8 defiency	AR	Pediatric
CASQ1	Myopathy, vacuolar, with CASQ1 aggregates	AD	N/A
CASQ2	Ventricular tachycardia, catecholaminergic, polymorphic, 2	AR	Pediatric
CASR	Hyperparathyroidism, neonatal; Hypocalcemia, autosomal dominant; Hypocalcemia, autosomal dominant, with Bartter syndrome; Hypocalciuric hypercalcemia, type I; Hyperparathyroidism, neonatal severe primary; Hypoparathyroidism, familial isolated; Hyperparathyroidism, familial primary 	AD/AR	Pediatric
CAST	Peeling skin with leukonychia, acral punctate keratoses, cheilitis, and knuckle pads (PLACK)	AR	N/A
CAT	Acatalasemia	AR	Pediatric
CAV1	Lipodystrophy, congenital generalized, type 3; Partial lipodystrophy, congenital cataracts, and neurodegeneration syndrome	AD/AR	Pediatric
CAV3	Cardiomyopathy, familial hypertrophic; Long QT syndrome 9; Creatine phosphokinase, elevated serum	AD/Digenic	Pediatric
CBL	Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia	AD	Pediatric
CBS	Homocystinuria due to cystathionine beta-synthase deficiency	AR	Pediatric
CBX2	46,XY sex reversal 5	AR	N/A
CC2D1A	Mental retardation, autosomal recessive 3	AR	N/A
CC2D2A	Joubert syndrome 9; Meckel syndrome 6; COACH syndrome	AR	N/A
CCBE1	Hennekam lymphangiectasia-lymphedema syndrome	AR	Pediatric
CCDC103	Ciliary dyskinesia, primary, 17	AR	Pediatric
CCDC114	Ciliary dyskinesia, primary, 20	AR	Pediatric
CCDC137	Schizophrenia	AD	N/A
CCDC151	Ciliary dyskinesia, primary,30	AR	Pediatric
CCDC28B	Bardet-Biedl syndrome, modifier of	AD	N/A
CCDC39	Ciliary dyskinesia, primary, 14	AR	Pediatric
CCDC40	Ciliary dyskinesia, primary, 15	AR	Pediatric
CCDC50	Deafness, autosomal dominant 44	AD	N/A
CCDC65	Ciliary dyskinesia, primary, 27	AR	Pediatric
CCDC8	Three M syndrome 3	AR	N/A
CCDC88C	Spinocerebellar ataxia 40	AD	N/A
CCM2	Cerebral cavernous malformations 2	AD	Pediatric
CCND2	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome	AD	N/A
CCNO	Ciliary dyskinesia, primary 29	AR	Pediatric
CCT5	Neuropathy, hereditary sensory, with spastic paraplegia	AR	N/A
CD151	Raph blood group	BG	Pediatric
CD19	Immunodeficiency, common variable 3	AR	Pediatric
CD207	 Birbeck granule deficiency	AD	N/A
CD247	Immunodeficiency due to defect in CD3-Zeta	AR	Pediatric
CD27	Lymphoproliferative syndrome 2	AR	Pediatric
CD2AP	Glomerulosclerosis, focal segmental, 3	AR	N/A
CD320	Methylmalonic aciduria due to transcobalamin receptor defect	AR	Pediatric
CD36	Platelet glycoprotein IV deficiency	AR	Pediatric
CD3D	Immunodeficiency 19	AR	Pediatric
CD3E	Immunodeficiency 18	AR	Pediatric
CD3G	Immunodeficiency 17	AR	Pediatric
CD4	OKT4 epitope deficiency	AD	N/A
CD40	Immunodeficiency with Hyper-IgM, type 3	AR	Pediatric
CD40LG	Immunodeficiency, with hyper-IgM, type 1	XL	Pediatric
CD44	Blood group, Indian	BG	Pediatric
CD46	Hemolytic uremic syndrome, atypical, susceptibility to, 2	AD/AR	Pediatric
CD55	Blood group, Cromer system	BG	Pediatric
CD59	CD59 deficiency	AR	Pediatric
CD79A	Agammaglobulinemia 3	AR	Pediatric
CD79B	Agammaglobulinemia 6	AR	Pediatric
CD81	Immunodeficiency, common variable, 6	AR	Pediatric
CD8A	CD8 deficiency, familial	AR	Pediatric
CD96	C syndrome( Opitz Trigonocephaly syndrome)	AD	N/A
CDAN1	Anemia, dyserythropoietic  congenital, type Ia	AR	Pediatric
CDC6	Meier-Gorlin syndrome 5	AR	N/A
CDC73	Hyperparathyroidism, familial isolated; Hyperparathyroidism-jaw tumor syndrome; Carcinoma, parathyroid	AD	Pediatric
CDH1	CDH1-related cancer	AD	Adult
CDH15	Mental retardation, autosomal dominant 3	AD	N/A
CDH23	Deafness, autosomal recessive 12; Usher syndrome, type 1D; Usher syndrome, type 1D /F digenic	AR/Digenic	Pediatric
CDH3	Hypotrichosis, congenital, with juvenile macular dystrophy; Ectodermal dysplasia, ectrodactyly, and macular dystrophy syndrome	AR	N/A
CDHR1	Cone-rod dystrophy 15; Retinitis pigmentosa 65	AR	N/A
CDK4	Melanoma, cutaneous malignant, susceptibility to, 3	AD	Adult
CDK5	Lissencephaly 7 with cerebellar hypoplasia	AR	N/A
CDK5RAP2	Microcephaly, primary autosomal recessive, 3	AR	Pediatric
CDK6	Microcephaly 12, primary, autosomal recessive	AR	N/A
CDKL5	Epileptic encephalopathy, early infantile, 2; Rett syndrome, atypical; Angelman-like syndrome	XL	N/A
CDKN1B	Multiple endocrine neoplasia, type IV	AD	Pediatric
CDKN1C	IMAGE syndrome; Beckwith-Wiedemann syndrome	AD	Pediatric
CDKN2A	Melanoma, familial; Melanoma-pancreatic cancer syndrome	AD	Pediatric
CDON	Holoprosencephaly 11	AD	N/A
CDSN	Hypotrichosis 2; Peeling skin syndrome 1	AD/AR	N/A
CDT1	Meier-Gorlin syndrome 4	AR	N/A
CEACAM16	Deafness, autosomal dominant 4B	AD	N/A
CEBPA	Acute myeloid leukemia, familial	AD	Pediatric
CEBPE	Specific granule deficiency	AR	Pediatric
CECR1	Polyarteritis nodosa, childhood-onset (ADA2 deficiency); Sneddon syndrome	AR	Pediatric
CEL	Maturity-onset diabetes of the young, type 8	AD	Pediatric
CENPE	Microcephaly 13, primary, autosomal recessive	AR	N/A
CENPF	Ciliary dyskinesia, primary 31	AR	N/A
CENPJ	Seckel syndrome 4; Microcephaly, primary autosomal recessive, 6	AR	N/A
CEP120	Short-rib thoracic dysplasia 13 with or without polydactyly	AR	N/A
CEP135	Microcephaly 8, primary, autosomal recessive	AR	N/A
CEP152	Seckel syndrome 5; Microcephaly 9, primary, autosomal recessive	AR	N/A
CEP164	Nephronophthisis 15	AR	N/A
CEP19	Morbid obesity and spermatogenic failure	AR	N/A
CEP290	Leber congenital amaurosis 10; Meckel syndrome 4; Senior-Loken syndrome 6; Joubert syndrome 5; Bardet-Biedl syndrome 14	AR	N/A
CEP41	Joubert syndrome 15	AR/Digenic 	N/A
CEP57	Mosaic variegated aneuploidy syndrome 2	AR	Pediatric
CEP63	Seckel syndrome 6	AR	N/A
CEP83	Nephronophthisis 18	AR	N/A
CERKL	Retinitis pigmentosa 26	AR	N/A
CERS1	Epilepsy, progressive myoclonic 8	AR	N/A
CERS3	Ichthyosis, congenital, autosomal recessive 9	AR	N/A
CES1	Carboxylesterase 1 deficiency	AR	N/A
CETP	Hyperalphalipoproteinemia 1	AD/AR	N/A
CFAP53	Heterotaxy, visceral, 6, autosomal recessive	AR	Pediatric
CFAP57	van der Woude syndrome 2	AD	N/A
CFB	Hemolytic uremic syndrome, atypical; Complement factor B deficiency	AD/AR	Pediatric
CFC1	Transposition of the great arteries, dextro-looped 2; Double-outlet right ventricle; Heterotaxy, visceral, 2, autosomal	AD	N/A
CFD	Complement factor D deficiency	AR	Pediatric
CFH	Hemolytic uremic syndrome, atypical; Complement factor H deficiency	AD/AR	Pediatric
CFHR1	Hemolytic-uremic syndrome, atypical, susceptibility to	AD/AR/Digenic	Pediatric
CFHR3	Hemolytic-uremic syndrome, atypical, susceptibility to	AD/AR/Digenic	Pediatric
CFHR4	Hemolytic-uremic syndrome, atypical, susceptibility to	AD/AR/Digenic	Pediatric
CFI	Hemolytic uremic syndrome, atypical; Complement factor I deficiency	AD/AR	Pediatric
CFL2	Nemaline myopathy 7	AR	N/A
CFP	Properdin deficiency, X-linked	XL	Pediatric
CFTR	Cystic fibrosis	AR	Pediatric
CHAMP1	Mental retardation, autosomal dominant 40	AD	N/A
CHAT	Myasthenic syndrome, congenital 6, presynaptic	AR	Pediatric
CHCHD10	Myopathy, isolated mitochondrial, autosomal dominant	AD	Pediatric
CHD2	Epileptic encephalopathy, childhood-onset	AD	N/A
CHD4	Schizophrenia	AD	N/A
CHD7	CHARGE syndrome; Isolated gonadotropin-releasing hormone deficiency	AD	Pediatric
CHD8	Autism, susceptibility to 18	AD	N/A
CHEK2	Li-Fraumeni syndrome 2	AD/AR	Adult
CHIT1	Chitotriosidase deficiency	AR	N/A
CHKB	Muscular dystrophy, congenital, megaconial type	AR	Pediatric
CHM	Choiroideremia	XL	N/A
CHMP1A	Pontocerebellar hypoplasia, type 8	AR	N/A
CHMP2B	Amyotrophic lateral sclerosis, CHMP2B-related; Dementia, familial, nonspecific; Frontotemporal dementia, chromosome 3-linked 	AD	N/A
CHMP4B	Cataract 31, multiple types	AD	N/A
CHN1	Duane retraction syndrome 2	AD	N/A
CHRDL1	Megalocornea 1, X-linked	XL	Pediatric
CHRM3	Eagle-Barrett syndrome	AR	N/A
CHRNA1	Myasthenic syndrome, congenital, 1B, fast channel; Myasthenic syndrome, congenital, 1A, slow-channel congenital	AD/AR	Pediatric
CHRNA2	Epilepsy, nocturnal frontal lobe, type 4	AD	N/A
CHRNA4	Epilepsy, nocturnal frontal lobe, type 1	AD	N/A
CHRNB1	Myasthenic syndrome, congenital, associated with acetylcholine receptor deficiency; Myasthenic syndrome, slow-channel congenital, 2A	AD/AR	Pediatric
CHRNB2	Epilepsy, nocturnal frontal lobe, type 3	AD	N/A
CHRND	Myasthenic syndrome, congenital, fast channel; Myasthenic syndrome,congenital, slow-channel; Myasthenic syndrome, congenital, 3C	AD/AR	Pediatric
CHRNE	Myasthenic syndrome, congenital, associated with acetylcholine receptor deficiency;  Myasthenic syndrome, fast-channel congenital; Myasthenic syndrome, slow-channel congenital	AD/AR	Pediatric
CHRNG	Multiple pterygium syndrome; Escobar syndrome	AR	N/A
CHST14	Ehlers-Danlos syndrome, musculocontractural type 1	AR	Pediatric
CHST3	Spondyloepiphyseal dysplasia with congenital joint dislocations	AR	N/A
CHST6	Macular dystrophy, corneal, 1; Macular dystrophy, corneal, 2	AR	N/A
CHST8	Peeling skin syndrome 3	AD	N/A
CHSY1	Temtamy preaxial brachydactyly syndrome	AR	Pediatric
CHUK	Cocoon syndrome	AR	N/A
CIB2	Deafness, autosomal recessive 48; Usher syndrome type IJ	AR	Pediatric
CIDEC	Lipodystrophy, familial partial, type 5	AR	Pediatric
CIITA	Bare lymphocyte syndrome, type II	AR	Pediatric
CISD2	Wolfram syndrome 2	AR	Pediatric
CITED2	Atrial septal defect 8; Ventricular septal defect 2	AD	N/A
CIZ1	Primary cervical dystonia, adult-onset	AD	N/A
CKAP2L	Filippi syndrome	AR	N/A
CLAM	Pontocerebellar hypoplasia, type 3	AR	N/A
CLCF1	Cold-induced sweating syndrome 2	AR	Pediatric
CLCN1	Myotonia congenita, autosomal dominant; Myotonia congenita, autosomal recessive, Myotonia levior	AD/AR	Pediatric
CLCN2	Epilepsy, idiopathic, generalized, susceptibility to, 11; Epilepsy, juvenile, absence, suscepibility to, 2;  Epilepsy, juvenile myoclonic, susceptibility to, 8; Leukoencephalopathy with ataxia	AD/AR	N/A
CLCN5	Dent disease 1; Hypophosphatemic rickets, X-linked recessive; Nephrolithiasis, type I; Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis	XL	Pediatric
CLCN7	Osteopetrosis, autosomal dominant 2; Osteopetrosis, autosomal recessive 4	AD/AR	Pediatric
CLCNKA	Bartter syndrome, type 4, digenic	AR/Digenic	Pediatric
CLCNKB	Bartter syndrome, type 3; Bartter syndrome, type 4, digenic	AR/Digenic	Pediatric
CLDN1	Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis	AR	N/A
CLDN14	Deafness, autosomal recessive 29	AR	Pediatric
CLDN16	Hypomagnesemia 3, renal	AR	Pediatric
CLDN19	Hypomagnesemia 5, renal, with ocular involvement	AR	Pediatric
CLEC7A	Candidiasis, familial, 4	AR	Pediatric
CLIC2	Mental retardation, X-linked, syndromic 32	XL	Adult
CLIC5	Deafness, autosomal recessive 103	AR	Pediatric
CLMP	Congenital short bowel syndrome	AR	Pediatric
CLN3	Ceroid lipofuscinosis, neuronal, 3	AR	N/A
CLN5	Ceroid lipofuscinosis, neuronal, 5	AR	N/A
CLN6	Ceroid lipofuscinosis, neuronal, 6	AR	N/A
CLN8	Ceroid lipofuscinosis, neuronal, 8; Ceroid lipofuscinosis, neuronal, 8, Northern epilepsy variant	AR	N/A
CLP1	Pontocerebellar hypoplasia type 10	AR	N/A
CLPB	3-methylglutaconic aciduria with cataracts, neurologic involvement, and neutropenia (MEGCANN)	AR	Pediatric
CLPP	Deafness, autosomal recessive 81	AR	Pediatric
CLRN1	Retinitis pigmentosa 61; Usher sydnrome, type 3A	AR	N/A
CNBP	Myotonic dystrophy 2	AD	Pediatric
CNGA1	Retinitis pigmentosa 49	AR	N/A
CNGA3	Achromatopsia 2; Leber congenital amaurosis	AR	N/A
CNGB1	Retinitis pigmentosa 45	AR	N/A
CNGB3	Achromatopsia 3; Macular degeneration, juvenile 	AR	N/A
CNNM2	Hypomagnesemia 6 ,renal	AR	Pediatric
CNNM4	Jalili syndrome	AR	N/A
CNTN1	Myopathy, congenital, Compton-North	AR	N/A
CNTN2	Epilepsy, familial adult myoclonic 5	AR	N/A
CNTNAP1	Lethal congenital contracture syndrome 7	AR	N/A
CNTNAP2	Cortical dysplasia-focal epilepsy syndrome; Pitt-Hopkins like syndrome 1	AR	N/A
COA3	Mitochondrial complex IV deficiency	AR	N/A
COA5	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3	AR	N/A
COA6	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4	AR	N/A
COASY	Neurodegeneration with brain iron accumulation 6	AR	N/A
COCH	Deafness, autosomal dominant 9	AD	N/A
COG1	Congenital disorder of glycosylation, type IIg	AR	Pediatric
COG4	Congenital disorder of glycosylation, type IIj	AR	Pediatric
COG5	Congenital disorder of glycosylation, type IIi	AR	Pediatric
COG6	Congenital disorder of glycosylation, type Iil	AR	Pediatric
COG7	Congenital disorder of glycosylation, type IIe	AR	Pediatric
COG8	Congenital disorder of glycosylation, type IIh	AR	Pediatric
COL10A1	Metaphyseal chondrodysplasia, Schmid type	AD	N/A
COL11A1	Stickler syndrome, type II; Fibrochondrogenesis; Marshall syndrome	AD/AR	Pediatric
COL11A2	Deafness, autosomal dominant 13; Deafness, autosomal recessive 53; Fibrochondrogenesis 2; Weissenbacher-Zweymuller syndrome;  Otospondylomegaepiphyseal dysplasia; Stickler syndrome, type III	AD/AR	Pediatric
COL12A1	Bethlem myopathy 2; Ullrich congenital muscular dystrophy 2	AD/AR	N/A
COL17A1	Epithelial recurrent erosion dystrophy (ERED); Epidermolysis bullosa, junctional, non-Herlitz type	AD/AR	N/A
COL18A1	Knobloch syndrome 1	AR	N/A
COL1A1	Ehlers-Danlos syndrome, type I; Ehlers-Danlos syndrome, type VII, autosomal dominant	AD	Pediatric
COL1A2	Ehlers-Danlos syndrome, cardiac valvular form 	AR	Pediatric
COL25A1	Fibrosis of extraocular muscles, congenital 5	AR	N/A
COL27A1	Steel syndrome	AR	Pediatric
COL2A1	Stickler syndrome, type I; Rhegmatogenous retinal detachment, autosomal dominant; Czech dysplasia; Otospondylomegaepiphyseal dysplasia; Epiphyseal dysplasia, multiple, with myopia and deafness; Avascular necrosis of femoral head, primary	AD	Pediatric
COL3A1	Ehlers-Danlos syndrome, type IV	AD	Pediatric
COL4A1	Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps; Brain small vessel disease with or without ocular anomalies; Anterior segment dysgenesis with  cerebral involvement; Porencephaly 1; Retinal artery tortuosity; Schizencephaly	AD	Adult
COL4A2	Hemorrhage, intracerebral, susceptibility to	AD	Adult
COL4A3	Alport syndrome, autosomal dominant; Alport syndrome, autosomal recessive	AD/AR	Pediatric
COL4A3BP	Mental retardation, autosomal dominant 34	AD	N/A
COL4A4	Alport syndrome, autosomal recessive	AD/AR	Pediatric
COL4A5	Alport syndrome, X-linked	XL	Pediatric
COL4A6	Deafness, X-linked, with cochlear malformation	XL	Pediatric
COL5A1	Ehlers-Danlos syndrome, type I; Ehlers-Danlos syndrome, type II	AD	Pediatric
COL5A2	Ehlers-Danlos syndrome, type I; Ehlers-Danlos syndrome, type II	AD	Pediatric
COL6A1	Ullrich congenital muscular dystrophy 1; Bethlem myopathy 1	AD/AR	N/A
COL6A2	Ullrich congenital muscular dystrophy 1 ; Myosclerosis, congenital; Bethlem myopathy 1; Epilepsy, progressive myoclonic, autosomal recessive	AD/AR	N/A
COL6A3	Ullrich congenital muscular dystrophy 1; Bethlem myopathy 1; Dystonia 27	AD/AR	N/A
COL7A1	Epidermolysis bullosa dystrophica, autosomal recessive; Epidermolysis bullosa dystrophica, autosomal dominant; Epidermolysis bullosa dystrophica inversia; Epidermolysis bullosa pruriginosa; Nail disorder, nonsyndromic congenital, 8; Epidermolysis bullosa dystrophica, Bart type; Epidermolysis bullosa, pretibial; Transient bullous dermolysis of the newborn 	AD/AR	N/A
COL8A2	Corneal dystrophy polymorphous posterior, 2; Corneal dystrophy, Fuchs endothelial, 1	AD	N/A
COL9A1	Stickler syndrome, type IV	AR	Pediatric
COL9A2	Stickler syndrome, Type V	AR	Pediatric
COL9A3	Epiphyseal dysplasia, multiple, 3	AD	N/A
COLEC11	3MC syndrome 2	AR	Pediatric
COLQ	Myasthenic syndrome, congenital 5	AR	Pediatric
COMP	Pseudoachondroplasia; Multiple ephiphyseal dysplasia	AD	N/A
COMT	Medication response, association with	AD	Pediatric
COPA	Autoimmune interstitial lung, joint, and kidney disease	AD	Pediatric
COQ2	Coenzyme Q10 deficiency 1	AR	Pediatric
COQ4	Coenzyme Q10 deficiency 7	AR	Pediatric
COQ6	Coenzyme Q10 deficiency, primary 6	AR	Pediatric
COQ9	Coenzyme Q10 deficiency 5	AR	Pediatric
CORIN	Preeclampsia/eclampsia 5	AD	Pediatric
CORO1A	Immunodeficiency 8	AR	Pediatric
COX10	Mitochondrial complex IV deficiency; Leigh syndrome	AR	N/A
COX14	Mitochondrial complex IV deficiency	AR	N/A
COX15	Leigh syndrome; Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2	AR	N/A
COX20	Mitochondrial complex IV deficiency	AR	N/A
COX4I2	Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis	AR	Pediatric
COX6A1	Charcot-Marie-Tooth disease, recessive intermediate D	AR	N/A
COX6B1	Mitochondrial complex IV deficiency	AR	N/A
COX7B	Linear skin defects with multiple congenital anomalies 2	XL	N/A
CP	Aceruloplasminemia; Hypoceruloplasminemia	AR	Pediatric
CPA6	Febrile seizures, familial, 11; Epilepsy, familial temporal lobe, 5	AD/AR	N/A
CPN1	Carboxypeptidase N deficiency	AR	N/A
CPOX	Coproporphyria; Harderoporphyria	AD/AR	Pediatric
CPS1	Carbamoylphosphate synthetase I deficiency	AR	Pediatric
CPT1A	Carnitine palmitoyltransferase deficiency I	AR	Pediatric
CPT1C	Spastic paraplegia 73, autosomal dominant	AD	N/A
CPT2	Carnitine palmitoyltransferase II deficiency	AR	Pediatric
CR1	Blood group, Knops system	BG	Pediatric
CR2	Common variable immune deficiency, 7	AR	Pediatric
CRADD	Mental retardation, autosomal recessive 34	AR	N/A
CRB1	Leber congenital amaurosis 8; Retinitis pigmentosa 12, autosomal recessive; Pigmented paravenous chorioretinal atrophy 	AD/AR	N/A
CRB2	Focal segmental glomerulosclerosis 9; Ventriculomegaly with cystic kidney disease	AR	N/A
CRBN	Mental retardation, autosomal recessive 2	AR	N/A
CREB3L1	Osteogenesis imperfecta, type XVI	AR	N/A
CREBBP	Rubinstein-Taybi syndrome	AD	Pediatric
CRELD1	Atrioventricular septal defect, partial, with or without heterotaxy	AD	N/A
CRIPT	Short stature with microcephaly and distinctive facies	AR	N/A
